,log2FoldChange,pvalue,padj
Dapma7bEVm000211,-0.135226182,0.582825403,0.997835001
Dapma7bEVm000212,-0.090167949,0.730860817,0.998544574
Dapma7bEVm000213,-0.133304734,0.49218678,0.997835001
Dapma7bEVm000214,0.007040295,0.989874381,0.9993904
Dapma7bEVm000215,0.17109415,0.431394054,0.997835001
Dapma7bEVm000216,-0.235976094,0.197188571,0.984876052
Dapma7bEVm000217,0.294344205,0.339569593,0.997835001
Dapma7bEVm000218,-0.403385486,0.452698874,0.997835001
Dapma7bEVm000219,-0.036871311,0.789351,0.998544574
Dapma7bEVm000220,-0.501115361,0.044918357,0.742147125
Dapma7bEVm000221,0.033902185,0.875216998,0.998544574
Dapma7bEVm000222,-0.09009918,0.658061497,0.998247148
Dapma7bEVm000223,-0.372947573,0.320079198,0.997835001
Dapma7bEVm000224,0.063497393,0.855234237,0.998544574
Dapma7bEVm000225,-0.2214127,0.440180944,0.997835001
Dapma7bEVm000226,-0.266953041,0.637290044,0.997835001
Dapma7bEVm000227,-0.157107823,0.451579896,0.997835001
Dapma7bEVm000228,-0.451556392,0.55332948,0.997835001
Dapma7bEVm000229,-0.387614536,0.186107441,0.974249988
Dapma7bEVm000230,0.07312906,0.867394008,0.998544574
Dapma7bEVm000231,0.312272821,0.256210416,0.997835001
Dapma7bEVm000232,0.249511175,0.298277957,0.997835001
Dapma7bEVm000233,0.305156862,0.192565958,0.980744892
Dapma7bEVm000234,-0.019056135,0.886735693,0.998544574
Dapma7bEVm000235,0.071231622,0.627759348,0.997835001
Dapma7bEVm000236,-0.107606819,0.848171621,0.998544574
Dapma7bEVm000237,-0.150705178,0.489387173,0.997835001
Dapma7bEVm000238,0.100411081,0.936913891,0.998544574
Dapma7bEVm000239,-0.207271833,0.295358717,0.997835001
Dapma7bEVm000240,0.048193056,0.797214435,0.998544574
Dapma7bEVm000241,-0.044342798,0.835458075,0.998544574
Dapma7bEVm000242,-0.163841479,0.704507429,0.998544574
Dapma7bEVm000243,-2.606552488,0.072830664,0.844126466
Dapma7bEVm000244,-0.221194838,0.188580537,0.974249988
Dapma7bEVm000245,0.025838723,0.85055034,0.998544574
Dapma7bEVm000246,-1.272880314,0.383471326,0.997835001
Dapma7bEVm000247,0.673266645,0.342886557,0.997835001
Dapma7bEVm000248,-0.123098968,0.783438199,0.998544574
Dapma7bEVm000249,0.701891699,0.249106532,0.997835001
Dapma7bEVm000250,-0.306771385,0.766503801,0.998544574
Dapma7bEVm000251,0.126882246,0.876047624,0.998544574
Dapma7bEVm000253,0.593620748,0.593186159,0.997835001
Dapma7bEVm000254,-4.720207603,0.077265874,0.852452839
Dapma7bEVm000255,0.122726289,0.318709133,0.997835001
Dapma7bEVm000256,0.395876496,0.378824543,0.997835001
Dapma7bEVm000257,0.518011836,0.432871529,0.997835001
Dapma7bEVm000258,-0.123212206,0.534464627,0.997835001
Dapma7bEVm000259,-0.194155668,0.336200263,0.997835001
