,log2FoldChange,pvalue,padj
Dapma7bEVm000150,0.149867887,0.501284372,0.876547521
Dapma7bEVm000151,0.296659688,0.31646787,0.763795113
Dapma7bEVm000152,-0.305793594,0.500891659,0.876534652
Dapma7bEVm000153,0.043557577,0.795383423,0.959482474
Dapma7bEVm000154,0.028098321,0.892023676,0.97902678
Dapma7bEVm000155,-0.98170452,0.367927312,NA
Dapma7bEVm000156,-0.207046115,0.494386624,0.873453884
Dapma7bEVm000157,-0.17851099,0.431942579,0.838273967
Dapma7bEVm000158,0.104346606,0.673856785,0.933074282
Dapma7bEVm000159,0.008321943,0.985910111,0.997650131
Dapma7bEVm000160,-0.260829703,0.053313891,0.36766711
Dapma7bEVm000161,0.012633509,0.965777906,0.99557375
Dapma7bEVm000162,0.014760123,0.89158639,0.97902678
Dapma7bEVm000163,0.245641198,0.378811848,0.807554042
Dapma7bEVm000164,0.401544383,0.026765649,0.251271131
Dapma7bEVm000165,-0.089059192,0.579451938,0.904100988
Dapma7bEVm000166,0.120104087,0.49147527,0.871582063
Dapma7bEVm000167,0.287026778,0.167417106,0.617199096
Dapma7bEVm000168,-0.125290683,0.808629303,0.961784623
Dapma7bEVm000169,-0.35026534,0.211854397,0.672486859
Dapma7bEVm000170,0.150904509,0.697474527,0.940586474
Dapma7bEVm000171,-0.184520686,0.211030291,0.671525912
Dapma7bEVm000172,0.289153775,0.294654139,0.746628621
Dapma7bEVm000173,-0.083151564,0.707755645,0.942413883
Dapma7bEVm000174,-0.003024793,0.986554316,0.997650131
Dapma7bEVm000175,0.303212288,0.187289539,0.640950448
Dapma7bEVm000176,0.154429018,0.559540448,0.897328424
Dapma7bEVm000177,0.150464621,0.448083769,0.849831263
Dapma7bEVm000178,-0.053967743,0.836982851,0.967428352
Dapma7bEVm000179,-0.457077068,0.046343748,0.339349719
Dapma7bEVm000180,0.355837329,0.027377628,0.254290061
Dapma7bEVm000181,0.944475532,3.88E-06,0.00024483
Dapma7bEVm000182,-0.323465534,0.198705024,0.656191638
Dapma7bEVm000183,0.139767129,0.368635849,0.801768173
Dapma7bEVm000184,-0.174284509,0.185514435,0.6400977
Dapma7bEVm000185,-0.003579506,0.99108147,0.998355032
Dapma7bEVm000186,-0.031543163,0.916873418,0.985424702
Dapma7bEVm000187,-0.0035321,0.989167897,0.997788468
Dapma7bEVm000188,-0.63611965,0.563825382,NA
Dapma7bEVm000189,0.325678822,0.016408883,0.18684896
Dapma7bEVm000190,0.101029676,0.711539914,0.942675167
Dapma7bEVm000191,-0.281754958,0.480051957,0.865517405
Dapma7bEVm000192,-0.95101699,0.032044589,0.278548978
Dapma7bEVm000193,0.206778176,0.66421094,0.930033312
Dapma7bEVm000194,-0.410369033,0.215665623,0.677621922
Dapma7bEVm000195,-1.17921805,0.191973988,0.646212955
Dapma7bEVm000196,0.27360919,0.34906085,0.786918351
Dapma7bEVm000197,-0.559888854,0.053451766,0.367723955
Dapma7bEVm000198,1.231738681,0.018632421,0.201989689
Dapma7bEVm000199,0.15972462,0.297580008,0.749604272
Dapma7bEVm000200,-1.909457624,0.00397284,NA
Dapma7bEVm000201,3.169152977,0.041652328,NA
Dapma7bEVm000202,-0.234007426,0.278836254,0.732375471
Dapma7bEVm000203,-0.375212833,0.504494311,0.876547521
Dapma7bEVm000204,-0.2643295,0.666758182,NA
Dapma7bEVm000205,-0.093060017,0.743982843,0.950272967
Dapma7bEVm000206,0.392623707,0.053754398,0.368525678
Dapma7bEVm000207,-0.156370822,0.607726118,0.9122955
Dapma7bEVm000208,0.045331881,0.868651962,0.975305254
Dapma7bEVm000209,-0.1216542,0.792029801,NA
Dapma7bEVm000210,-0.078316415,0.698729243,0.940586474
Dapma7bEVm000211,-0.068605519,0.780102322,0.956341445
Dapma7bEVm000212,0.155626115,0.551270711,0.896057112
Dapma7bEVm000213,0.101877728,0.598732604,0.909467375
Dapma7bEVm000214,-0.186229315,0.737085441,0.948821978
Dapma7bEVm000215,0.972100181,7.56E-06,0.000440859
Dapma7bEVm000216,0.132670988,0.467652176,0.859831711
Dapma7bEVm000217,0.096010999,0.755412932,0.952312776
Dapma7bEVm000218,0.008736768,0.98685544,NA
Dapma7bEVm000219,-0.145961515,0.289676112,0.742820883
Dapma7bEVm000220,-2.048333509,9.74E-16,4.14E-13
Dapma7bEVm000221,0.488688603,0.022665729,0.226125855
Dapma7bEVm000222,0.157762833,0.43434556,0.840259282
Dapma7bEVm000223,-0.51406122,0.170180302,0.62146825
Dapma7bEVm000224,-0.3092445,0.375502902,0.806724676
Dapma7bEVm000225,0.128263329,0.652710867,0.927109028
Dapma7bEVm000226,0.024044244,0.96600403,0.99557375
Dapma7bEVm000227,-0.119176466,0.566460397,0.899193804
Dapma7bEVm000228,-0.61152837,0.421920809,NA
Dapma7bEVm000229,0.387491577,0.176837666,0.630187831
Dapma7bEVm000230,0.334497252,0.44391345,0.846639054
Dapma7bEVm000231,-0.017378365,0.949665654,0.991560848
Dapma7bEVm000232,0.03675614,0.878235768,0.976136843
Dapma7bEVm000233,1.307461745,1.31E-08,1.74E-06
Dapma7bEVm000234,0.063215891,0.635056761,0.919216429
Dapma7bEVm000235,0.028272535,0.84708436,0.972106564
Dapma7bEVm000236,-1.148937217,0.043744616,NA
Dapma7bEVm000237,-0.159902218,0.461886256,0.857697123
Dapma7bEVm000238,0.690567577,0.585864774,0.905063342
Dapma7bEVm000239,-0.200918703,0.307938982,0.756208471
Dapma7bEVm000240,0.227928202,0.222946343,0.683948588
Dapma7bEVm000241,-0.159023077,0.45572186,0.853287795
Dapma7bEVm000242,-0.130046255,0.762344261,NA
Dapma7bEVm000243,-2.648101744,0.067608833,NA
Dapma7bEVm000244,-0.148081298,0.376954665,0.807444555
Dapma7bEVm000245,-0.131490233,0.337433846,0.780244341
Dapma7bEVm000246,-1.948135836,0.184465275,NA
Dapma7bEVm000247,0.081817261,0.908262752,0.983814714
Dapma7bEVm000248,-0.230958677,0.605841895,0.912192946
Dapma7bEVm000249,-0.296916348,0.62911234,NA
Dapma7bEVm000250,-0.305206445,0.766962556,NA
Dapma7bEVm000251,0.475599597,0.556909982,NA
