,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm014977,9.142706672,8.784549162,8.606775779,9.193438331,8.835791399,9.306416872,9.192630136,9.062384966,9.301700287,8.908595155,9.244508914,9.302238032,8.246550129,9.241368325,9.095126448,8.910600189
Dapma7bEVm014978,9.918971951,11.53118804,9.164684844,8.022565507,11.13505009,7.75366326,10.66010265,10.20557885,10.55179003,11.22881523,7.275661055,9.544756757,9.488414817,9.625548436,10.59030321,8.078203905
Dapma7bEVm014980,7.91580696,7.571091986,7.628583947,7.904259301,8.417082962,7.931316249,8.122331199,8.000822744,8.157638196,8.259193252,7.972116216,7.976393461,8.155773524,8.226623498,8.044999992,8.386685673
Dapma7bEVm014981,12.63165578,12.98611032,13.42682549,12.42280122,12.0433844,12.34742497,12.21729547,12.31930484,12.28735697,12.18170559,12.87831258,12.50983134,12.38898422,12.25427362,12.58643791,11.86976132
Dapma7bEVm014982,7.92649143,7.627766358,7.721633926,7.769462591,7.80120406,8.146829609,8.002715824,8.293922855,7.569044458,7.307659662,8.075828356,8.002839163,7.706033455,7.73556615,7.629314426,7.468603843
Dapma7bEVm014983,9.063530651,9.145983105,9.095962467,9.308249392,9.110070439,9.387514755,9.05817511,9.199774424,9.373157251,9.42852185,9.535578678,9.541498372,9.533523091,9.084828618,9.007385634,9.196290174
Dapma7bEVm014984,7.899558028,8.348847902,7.384548113,8.178048025,8.203242795,8.064738996,7.926536203,7.453660663,7.626581446,8.432787055,7.55538707,7.533326861,8.056765057,8.127852178,7.991626744,8.460848865
Dapma7bEVm014985,8.003167161,8.835562909,7.10774769,6.724414309,10.28539226,6.9889251,10.26684865,9.411056308,8.153661131,9.321129422,6.878161632,8.531571102,7.284359579,8.133007824,9.974483734,6.724414309
Dapma7bEVm014986,7.394923457,7.522511693,7.457457085,7.011449149,8.809805596,7.048146854,8.371972663,7.77739416,7.498609197,7.721552093,7.316003458,7.70382694,7.191207937,7.154041589,8.240630655,6.724414309
Dapma7bEVm014987,8.957450334,9.058429664,8.61105366,8.947565182,9.207929306,8.947202225,8.848237237,8.534651637,8.651022813,9.229234975,8.82154099,8.73778638,9.142555148,9.108337817,8.888042001,8.953518615
Dapma7bEVm014988,8.562729836,8.430662883,8.239064334,8.560600229,8.401556777,8.501540216,8.585617553,8.129904608,8.594883942,8.422656983,8.82154099,8.55242165,8.253237369,8.620138665,8.43509714,8.329181969
Dapma7bEVm014989,8.32778138,8.364626931,9.125025244,8.832005948,9.822238743,9.693513278,9.035802701,9.477355193,8.987095636,9.039989852,9.21167904,9.593783358,9.396244894,9.756554659,9.648009344,9.974145007
Dapma7bEVm014990,9.444753066,9.347722066,9.063247332,9.348925185,9.829340353,9.357663224,9.645548733,9.272427569,9.815097545,9.918091087,9.434157245,9.730331894,10.1256343,9.583389765,10.09260906,9.58900098
Dapma7bEVm014991,8.301877685,8.12101275,7.595047126,8.039180873,7.828372537,7.884844616,7.662101912,8.385605517,8.03142356,7.988437692,8.045007026,8.112469921,7.98232577,8.17339735,7.991626744,7.765807505
Dapma7bEVm014992,8.607045353,8.583631889,8.606775779,8.257229521,8.126352886,8.120157068,8.180296767,8.140899149,8.661436359,9.089107927,8.556593899,8.390481778,8.536060746,8.928999012,8.150153922,8.596792625
Dapma7bEVm014993,7.215168493,7.245029158,7.336327953,7.336451408,6.979137079,7.297926232,6.965229245,6.914578175,7.106444936,7.816217009,6.724414309,6.724414309,6.945208512,7.208616398,6.86462832,7.33425121
Dapma7bEVm014995,13.22315889,13.51064663,12.1497864,12.57517537,12.13391762,12.22084552,12.41988688,12.94675765,13.68075781,13.49242225,13.40075358,13.05790432,13.59833998,13.81361367,12.6036909,13.25747104
Dapma7bEVm014996,9.051239345,8.983999144,8.653045552,8.921587652,8.704344619,8.753309299,8.601513705,8.639178107,9.13566422,9.411988845,8.869305552,8.812824489,8.541297782,9.136015298,8.50646774,8.940461624
Dapma7bEVm014997,7.425071669,7.547198499,7.264958362,7.55599476,7.507750719,7.671499257,7.342187236,7.477056434,7.309453535,7.741309915,6.724414309,7.552158004,7.465712947,7.406040362,7.362007026,7.784108333
Dapma7bEVm014998,7.657368924,7.897742384,8.020143197,7.982720507,8.064878028,7.654062457,7.735876872,7.641194348,7.937901149,8.205246884,7.884399891,7.452636644,7.682655283,7.637598062,7.554530685,7.886866448
Dapma7bEVm014999,10.27978102,10.38370172,10.95065723,10.4100946,10.59024565,10.28416531,10.44455517,10.58173937,10.3517587,10.56171531,10.20072431,10.13367533,10.26269074,10.41679726,10.313187,10.576856
Dapma7bEVm015000,9.36388505,9.303171772,8.906847626,8.939825695,8.965142551,8.727697501,8.760776644,9.434821993,9.526264477,9.237359604,9.075084579,8.972675112,9.285679182,9.241368325,8.875164654,9.198995625
Dapma7bEVm015001,9.777246651,10.04796235,9.289908281,9.143310488,8.641740869,9.036902932,8.948376785,9.777510939,10.03953856,10.07435911,9.854010542,9.550170435,10.11264047,10.13096186,8.965777574,9.989513497
Dapma7bEVm015002,8.275377757,8.488538634,7.787613877,8.055535261,8.675515723,8.228071429,8.122331199,6.724414309,8.739357332,8.601983926,7.875178345,8.109105172,8.716482945,8.457098729,8.610247654,8.03011417
Dapma7bEVm015003,9.224734205,9.006142572,8.689674144,8.837614277,8.879162013,9.018925051,8.841715682,9.052010638,9.063447178,9.124797598,8.963531416,8.980918086,8.886418013,9.103668876,8.989713631,9.035380991
Dapma7bEVm015004,10.94631396,11.01861806,11.31509302,10.29442393,10.26211358,9.753754447,9.891475513,10.13829268,10.07294143,10.58463652,10.33121853,9.866837008,10.35642029,10.18992263,8.88483456,10.3445727
Dapma7bEVm015005,8.465743076,8.327471855,8.606775779,8.356271494,8.417082962,8.417241039,8.561384182,8.403111843,8.33019381,7.893799989,8.737782527,8.563854333,8.72101735,8.499005273,8.293688537,8.366100175
Dapma7bEVm015006,7.732612115,7.759008964,7.976333247,7.433156192,7.763671294,7.776874404,7.559407469,7.936353943,8.087960063,8.109057563,7.581875586,7.753636146,7.416648867,7.89106047,7.419031561,7.910904713
Dapma7bEVm015007,10.10171627,9.805738754,10.11641685,10.30314316,10.17611214,10.1423064,9.975231416,10.23916937,9.998577934,9.889714571,10.16765917,10.07915594,10.07628026,10.08103747,10.01871677,9.958607299
Dapma7bEVm015008,6.724414309,6.724414309,6.724414309,6.724414309,7.112841109,6.724414309,6.724414309,6.724414309,7.736787613,6.724414309,6.724414309,6.724414309,6.724414309,6.724414309,7.004512588,7.382313065
Dapma7bEVm015009,7.281913121,7.181590008,7.014551096,6.981230503,7.231901313,7.234690984,7.260429915,7.053313575,7.006936051,6.724414309,7.208561131,7.210307104,7.036361241,7.302001466,7.315385659,6.724414309
Dapma7bEVm015010,7.516721514,8.152958894,7.204149626,7.565346832,7.164472428,7.454013257,7.440329908,7.477056434,7.382329913,6.724414309,7.254279619,6.724414309,7.496553054,7.440929767,7.508221328,7.397523264
Dapma7bEVm015011,7.739135475,8.354131249,10.68046751,9.034658734,9.162761975,9.036902932,8.80860616,8.557805537,7.718353993,11.21822468,8.515926038,8.268766485,8.449053802,8.389311993,7.93529757,8.655452395
Dapma7bEVm015012,7.137310478,6.975551595,6.724414309,7.063815728,7.49444349,7.217557762,7.140558227,6.724414309,7.250883013,6.724414309,7.335124638,7.23169742,7.216222291,7.113286058,6.922628979,6.724414309
Dapma7bEVm015014,13.29419098,13.66360504,13.23899376,12.48523117,13.18830302,12.61001072,13.20602661,13.02814621,13.5356602,13.33774013,12.85579158,13.1560881,13.79705107,13.32911884,13.72060033,13.06962186
Dapma7bEVm015016,8.101720415,8.220129693,8.57201186,8.257229521,8.007050611,8.081669442,8.224569867,8.312847381,8.125407643,8.025386154,8.244276793,8.398336751,7.938491389,8.290913734,8.218691289,7.819637341
Dapma7bEVm015017,8.787873322,8.89492527,11.36708009,9.740152599,11.62788957,11.72915205,10.63071632,10.40011802,9.791783078,14.09144971,10.43445281,10.09022902,11.31187987,11.61057313,9.68412238,11.97667375
Dapma7bEVm015018,8.731289799,6.869530442,7.805605255,8.123618433,7.344384479,8.637229396,7.002376249,7.881578035,6.724414309,7.70133167,7.632280726,7.941340186,7.325321274,7.795206063,8.812192887,6.724414309
Dapma7bEVm015019,11.24970712,9.244042483,10.00674981,10.9449344,9.534744559,11.93638988,8.251377246,10.63804402,7.856166356,10.92028807,9.229684721,10.60313893,9.728728079,9.737522421,12.14123974,8.371280406
Dapma7bEVm015020,9.790520037,10.04501132,9.656366801,9.547598114,9.687842649,9.607242844,9.390726408,9.889537779,9.778284408,9.931249456,9.968816198,9.762248257,9.785425858,10.15637505,9.624023892,9.938148943
Dapma7bEVm015021,8.870706703,8.813946186,8.069011397,8.028133599,7.863405929,8.030036921,8.061073601,8.639178107,8.819681185,8.36534195,8.134912533,8.102343856,8.253237369,8.483933918,8.11420814,8.01595664
Dapma7bEVm015022,7.789658856,7.547198499,7.865952078,7.627810677,8.227729502,7.570548865,7.632663137,7.659469618,6.724414309,8.270839497,6.724414309,7.68830348,7.947413365,7.014650762,7.037451335,7.047548986
Dapma7bEVm015023,6.931390153,7.048359688,8.936998613,7.805041798,7.188078559,7.570548865,7.116908596,7.521614255,7.275095959,8.422656983,6.724414309,6.904574262,6.724414309,7.272722406,6.86462832,7.263117926
Dapma7bEVm015024,8.123892475,8.255132824,7.617562145,7.546524637,7.558660151,7.454013257,7.612423,8.708826812,8.449943767,7.902043192,8.231179363,8.039473234,8.577345859,8.718042225,7.264515044,8.592495132
Dapma7bEVm015025,11.39678542,11.42097898,11.26304939,11.26419481,11.3649473,11.36048641,11.54190429,11.05838496,11.68492109,11.49093246,11.63784303,11.61290194,11.78591138,11.62988038,11.55105439,11.62481442
Dapma7bEVm015026,7.68551194,7.470438101,7.691752134,7.776691513,7.704210037,7.905033208,7.371854888,6.724414309,7.263131799,7.825160784,7.405963262,7.48057977,7.554496915,7.257449786,7.362007026,7.688539196
Dapma7bEVm015027,9.427708798,9.796958939,9.536188729,8.911050956,9.517135345,9.291716437,9.569523044,9.540615338,9.735825362,9.627176847,8.53133504,9.100290872,10.37009831,9.496777621,10.17042789,9.418192691
Dapma7bEVm015028,8.051255189,8.088091589,8.122224535,8.239094945,7.714407614,7.671499257,7.690525613,7.291658089,7.818079107,8.018101999,7.594783957,7.683064921,7.106100278,7.113286058,7.391171957,7.412373797
