,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm018628,181.6787664,52.46805259,94.40453079,159.5828723,82.62372939,116.738918,123.0453099,77.2743432,84.75226226,110.5890906,119.0042948,122.7342475,140.2079443,127.9633932,135.9455167,84.16671872
Dapma7bEVm018629,190.3993472,241.9955079,252.1030084,199.0586355,233.5497418,206.7437327,198.8412208,215.2642418,187.1329951,148.9120427,185.1177919,252.6234063,168.7458445,231.8799742,192.9226818,200.2954825
Dapma7bEVm018630,1136.582363,1137.164732,753.0906888,828.1511164,995.8913516,1044.412305,910.5352934,1067.121882,1396.039264,1083.992076,628.6792542,927.9369566,1366.096873,1171.423277,881.6466599,1160.222237
Dapma7bEVm018631,0,0,69.73061933,0,42.96433928,26.73410337,10.82798727,7.359461257,5.424144785,5.474707454,0,4.953400124,0,18.89392383,3.998397551,33.02744659
Dapma7bEVm018633,19.62130677,40.68951017,12.87334511,10.07891825,17.6263956,16.04046202,8.859262315,27.59797971,13.56036196,6.569648945,34.85984392,28.06926737,18.61167403,10.30577663,22.99078592,22.37343156
Dapma7bEVm018634,84.29894762,173.4658065,253.1757871,169.6617906,299.6487253,259.3208027,294.3243813,58.87569006,130.8574929,504.7680272,115.398104,108.9748027,167.5050662,201.8214591,223.9102628,271.6773832
Dapma7bEVm018635,67.58450111,44.97261651,100.8412033,112.5479205,47.37093819,80.2023101,105.3267853,84.63380446,58.30955644,78.83578734,76.93206934,83.65742432,79.40980918,62.69347452,107.9567339,53.27007514
Dapma7bEVm018636,105.3736845,99.58222227,66.51228306,62.99323908,92.53857692,85.54913077,132.8889347,163.748013,138.9937101,96.35485119,94.9630231,80.90553536,33.50101325,124.5281343,110.955532,93.75533225
Dapma7bEVm018637,101.0133941,85.66212668,40.76559284,97.42954311,67.20063324,100.698456,73.82718595,112.2317842,37.2909954,50.36730858,91.35683235,50.08437903,100.5030397,52.38769789,23.9903853,90.55912774
Dapma7bEVm018640,1768.097755,2003.422988,2271.072633,2072.057611,1993.986003,1809.898798,1908.678848,1733.153126,1749.964711,1934.761614,1764.629341,1930.174915,1622.937975,1556.172272,1959.2148,1730.212041
Dapma7bEVm018642,111.1874051,109.2192115,55.78449547,98.26945296,55.08248626,102.4807296,112.2173227,154.5486864,140.3497463,249.6466599,69.71968784,62.74306824,107.9477093,98.76369273,102.9587369,101.2131428
Dapma7bEVm018643,111.1874051,229.1461889,112.6417697,104.1488219,305.1569739,125.6502858,215.575383,242.8622215,185.7769589,367.9003409,33.65778034,154.6561594,176.1905141,256.7856011,206.9170732,192.837672
Dapma7bEVm018644,58.86392032,72.81280768,123.3695573,46.19504199,20.93134478,57.92389063,0.984362479,22.07838377,31.86685061,1.094941491,39.66809826,32.4722897,71.96513957,49.81125373,4.997996938,4.261606011
Dapma7bEVm018646,5.08700546,1.070776584,24.67391146,8.399098544,8.813197802,7.129094231,12.79671223,5.519595943,23.05261534,14.23423938,22.83920809,26.96851179,14.88933922,2.576444158,14.99399081,0
Dapma7bEVm018647,300.1333221,450.7969417,172.7173802,131.0259373,394.3906016,195.1589546,261.8404195,224.4635683,405.4548227,342.7166866,221.1796994,212.9962053,497.5520856,358.9845527,262.8946389,425.0951996
Dapma7bEVm018648,138.8025775,99.58222227,166.2807076,129.3461176,127.7913681,144.3641582,98.43624794,185.8263967,102.3807328,119.3486225,197.1384277,181.6246712,96.78070493,111.6459135,123.9503241,84.16671872
Dapma7bEVm018649,40.69604368,83.52057352,54.71171671,36.11612374,62.79403434,39.21001827,57.0930238,34.95744097,50.85135736,101.8295586,55.29492484,42.92946774,107.9477093,49.81125373,56.9771651,54.33547664
Dapma7bEVm018650,186.0390568,131.7055198,229.5746544,252.8128662,295.2421264,312.7890094,225.4190078,163.748013,176.9627236,130.2980374,167.0868381,231.1586725,186.1167403,314.3261873,256.8970426,282.3313983
Dapma7bEVm018651,2499.173111,2881.459786,3927.443037,4579.188526,3472.399934,4524.301426,4045.72979,2757.958106,2281.5309,2798.67045,3598.978369,4235.707484,3811.67084,3678.303443,5798.676048,2973.535594
Dapma7bEVm018654,5.813720526,2.141553167,10.72778759,9.239008398,7.711548077,12.4759149,21.65597455,11.03919189,0,0,14.424763,9.906800248,0,44.65836541,10.99559326,31.96204508
Dapma7bEVm018657,150.4300186,198.093668,118.0056635,114.2277402,176.263956,150.6021156,130.9202098,169.2676089,181.0308322,234.317479,203.1487456,148.6020037,219.6177535,132.2574668,124.9499235,295.1162163
Dapma7bEVm018658,44.32961901,46.04339309,27.89224773,41.99549272,39.65939011,54.35934351,57.0930238,75.43447789,64.41171932,93.07002672,40.87016184,64.39420162,101.743818,36.92903294,45.98157183,70.31649919
